iter	RMSE
281	0.4936642563
282	0.4934530819
283	0.4932030631
284	0.4929009119
285	0.4927126091
286	0.4925134334
287	0.492295835
288	0.4920451504
289	0.4917465674
290	0.4914888929
291	0.4912283112
292	0.4909618868
293	0.490671667
294	0.4904022654
295	0.4901125308
296	0.489960226
297	0.48986922
298	0.4897291928
299	0.4895508025
300	0.4893013191
301	0.4889968687
302	0.4887865114
303	0.4886700769
304	0.488391764
305	0.4880883405
306	0.4878663265
307	0.487624942
308	0.4873690219
309	0.4871728163
310	0.4868681104
311	0.4867729929
312	0.4864555134
313	0.4862043948
314	0.4860617829
315	0.4857924174
316	0.4856560446
317	0.4854061428
318	0.4852442237
319	0.4849963109
320	0.4847274256
321	0.4844285666
322	0.4843153833
323	0.4841084805
324	0.4840420273
325	0.4837115152
326	0.4836067892
327	0.4834281359
328	0.4832045638
329	0.4829556085
330	0.4826974885
331	0.4825193503
332	0.482320601
333	0.4821345772
334	0.4819256941
335	0.4816824043
336	0.4814218402
337	0.4812036621
338	0.4810348522
339	0.4808947202
340	0.4807344196
341	0.4805312249
342	0.4802559836
343	0.4799565696
344	0.4797758808
345	0.4795718239
346	0.4793524203
347	0.4791392202
348	0.4789371231
349	0.4786924965
350	0.4785774239
351	0.4782891722
352	0.4781159925
353	0.4779572665
354	0.4777229883
355	0.4775317679
356	0.4772768181
357	0.4770024712
358	0.4767290344
359	0.4765408845
360	0.476429828
361	0.4763633008
362	0.4762765878
363	0.476084875
364	0.4758887278
365	0.4755699393
366	0.4754570697
367	0.4753633304
368	0.475153764
369	0.4749812624
370	0.4747956546
371	0.4745432891
372	0.4744014846
373	0.4742652649
374	0.474115491
375	0.4739361131
376	0.4736771138
377	0.473542771
378	0.4734076469
379	0.4731959491
380	0.4728901661
381	0.4726842602
382	0.4725512512
383	0.4724101104
384	0.4722707772
385	0.4722175039
386	0.4720562404
387	0.4719402231
388	0.471786633
389	0.4716112441
390	0.47140996
391	0.4711978297
392	0.4709361988
393	0.470847864
394	0.4707135212
395	0.4705265584
396	0.4704172251
397	0.4701410859
398	0.4699604565
399	0.4697979733
400	0.469537396
401	0.4693610063
402	0.469142992
403	0.4689091233
404	0.4686294607
405	0.4684115012
406	0.4682431275
407	0.468008676
408	0.4677824534
409	0.4675474299
410	0.4673150421
411	0.4672354785
412	0.4670296307
413	0.4668167574
414	0.466630917
415	0.4664091935
416	0.4662662409
417	0.4660977553
418	0.4658725952
419	0.4657852729
420	0.4656247144
421	0.4654460033
422	0.4653646814
423	0.4652644093
424	0.4650994014
425	0.4649736636
426	0.4647782234
427	0.4645715502
428	0.4644457534
429	0.4642711634
430	0.4641453838
431	0.4638940706
432	0.4636908683
433	0.4635939886
434	0.4634185205
435	0.4632116442
436	0.4630877795
437	0.4629164194
438	0.4627924541
439	0.4626232219
440	0.4625287329
441	0.4623807529
442	0.4622571371
443	0.4620211528
444	0.4618807974
445	0.4617601019
446	0.4615428841
447	0.4614249027
448	0.4611978721
449	0.461093912
450	0.4608664499
451	0.4607449417
452	0.4605751407
453	0.460439699
454	0.4601776573
455	0.4598963072
456	0.4598312979
457	0.4597399023
458	0.4595445276
459	0.4593904102
460	0.4592537041
461	0.4591047005
462	0.4589890631
463	0.4588780488
464	0.4587436856
465	0.4585959431
466	0.4584205072
467	0.4582566357
468	0.4581535711
469	0.4579878796
470	0.4578286958
471	0.4576257343
472	0.4573702815
473	0.4570995012
474	0.4568844646
475	0.4568121823
476	0.456660433
477	0.4565510047
478	0.4563728239
479	0.4562346823
480	0.4560614481
481	0.4558945025
482	0.4556922
483	0.4555516681
484	0.4554195051
485	0.4552121971
486	0.4551626134
487	0.4550024333
488	0.4549109008
489	0.4547166452
490	0.4545718393
491	0.4544635888
492	0.4543378102
493	0.4540930888
494	0.4539957079
495	0.4537779679
496	0.4536678336
497	0.4535803874
498	0.453452578
499	0.4532858066
500	0.4531040782
501	0.4528205633
502	0.4527124544
503	0.4526016159
504	0.4524093269
505	0.4521654191
506	0.4519747302
507	0.4518202156
508	0.451573163
509	0.4514531914
510	0.4513592193
511	0.4511522409
512	0.4509514776
513	0.4508236833
514	0.4507003045
515	0.4506096619
516	0.4504994413
517	0.4503198972
518	0.4501569085
519	0.4499784936
520	0.4498089767
521	0.4496444809
522	0.449426264
523	0.4492637451
524	0.4491199788
525	0.4490185812
526	0.4488965325
527	0.448856315
528	0.4487280948
529	0.4485607256
530	0.4483419007
531	0.448153627
532	0.4480335075
533	0.4478793124
534	0.4478169468
535	0.4477142746
536	0.4476069565
537	0.447510122
538	0.4474265055
539	0.4473079251
540	0.4470885588
541	0.4469462492
542	0.446726611
543	0.4465959788
544	0.4464402241
545	0.4463057035
546	0.4461861017
547	0.4460387954
548	0.4459398632
549	0.4458553967
550	0.4457676055
551	0.4455897949
552	0.4454501619
553	0.4452998216
554	0.44508735
555	0.4449053731
556	0.4446601036
557	0.44444583
558	0.4443032392
559	0.4441901637
560	0.4440219932
561	0.443864623
562	0.4437190796
563	0.4434407592
564	0.4433520512
565	0.4431803965
566	0.4430040564
567	0.4428774051
568	0.442743078
569	0.4425903591
570	0.4424574269
571	0.4423472018
572	0.442228505
573	0.4420601204
574	0.4419026214
575	0.4417489822
576	0.4415319485
577	0.4414398418
578	0.441222298
579	0.4411398939
580	0.4410021683
581	0.4409111834
582	0.4407751147
583	0.4406802253
584	0.4405294494
585	0.4403787651
586	0.4402824914
587	0.4401242443
588	0.4399546385
589	0.4397356095
590	0.439647781
591	0.4394970469
592	0.439357586
593	0.4392273084
594	0.4390515328
595	0.4389382596
596	0.4387782822
597	0.4386143856
598	0.438457833
599	0.4383930329
600	0.4382675878
601	0.4381024126
602	0.4379431799
603	0.4377667046
604	0.4376328113
605	0.4375251112
606	0.4374080517
607	0.4372828882
608	0.4371941332
609	0.4371200333
610	0.4369529237
611	0.4368767845
612	0.4367607261
613	0.4366538901
614	0.4364438117
615	0.4362855044
616	0.4361296526
617	0.4360308504
618	0.4359068849
619	0.4357957942
620	0.43568142
621	0.4354872053
622	0.4353813342
623	0.4352556938
624	0.4350730227
625	0.4349353946
626	0.4347773593
627	0.4346046078
628	0.4344857298
629	0.434420034
630	0.4343495167
631	0.4341944578
632	0.434096745
633	0.4339998567
634	0.4337322068
635	0.4336475474
636	0.4335645884
637	0.4334582116
638	0.43338486
639	0.4332452128
640	0.4331686889
641	0.4329833539
642	0.4328566128
643	0.4327197362
644	0.432573974
645	0.4324503474
646	0.4323339356
647	0.4322168471
648	0.432086402
649	0.4319833474
650	0.431828861
651	0.4317916773
652	0.4316569823
653	0.4315297476
654	0.4313552208
655	0.4312584371
656	0.4311289039
657	0.4310209747
658	0.4308842863
659	0.4307755315
660	0.430704512
661	0.4306135408
662	0.4304653825
663	0.4303019453
664	0.4301261722
665	0.4299913051
666	0.4299139417
667	0.4297622792
668	0.4296135125
669	0.4294605967
670	0.4293047757
671	0.4291512367
672	0.4290894605
673	0.4289532373
674	0.4288707187
675	0.4287488454
676	0.4286350069
677	0.4284860085
678	0.4283708986
679	0.428285745
680	0.4281021671
681	0.427965051
682	0.4278273424
683	0.4276358147
684	0.4275318006
685	0.4274406217
686	0.4273689746
687	0.4272087364
688	0.4270389417
689	0.4268251023
690	0.4267082489
691	0.4265686367
692	0.4264609287
693	0.4262593542
694	0.4261544702
695	0.4260828172
696	0.4260013767
697	0.425857384
698	0.425722
699	0.4255813198
700	0.4253725129
701	0.4251776094
702	0.4250892153
703	0.4249835475
704	0.4248497982
705	0.4246893387
706	0.4245865453
707	0.4244890863
708	0.4243987486
709	0.424289676
710	0.4241484312
711	0.4239975908
712	0.4238751569
713	0.4237568639
714	0.4236126547
715	0.4235225274
716	0.4234463585
717	0.4233672627
718	0.4232212444
719	0.4230540792
720	0.4229945763
721	0.4229281961
722	0.42286672
723	0.4227484924
724	0.422685435
725	0.4225372056
726	0.4224352288
727	0.4222853244
728	0.4221695853
729	0.4220952866
730	0.4218865885
731	0.4218006332
732	0.4217542399
733	0.4216217697
734	0.4215339708
735	0.4214024596
736	0.4212686804
737	0.4212127314
738	0.4210699677
739	0.4208929095
740	0.420801559
741	0.4207492481
742	0.4206553828
743	0.4204995
744	0.4203881316
745	0.4202225268
746	0.42013694
747	0.4200508107
748	0.4199296953
749	0.4197131792
750	0.4196576113
751	0.4195411334
752	0.4194604851
753	0.4192931283
754	0.4191307599
755	0.4190559406
756	0.4189719533
757	0.4188428984
758	0.41875218
759	0.4185769616
760	0.4184695817
761	0.4183631782
762	0.4182300399
763	0.4180864438
764	0.4178917305
765	0.4178101202
766	0.4177187229
767	0.4175903428
768	0.4174392623
769	0.4173247548
770	0.4172090141
771	0.4170684659
772	0.4170144131
773	0.4169314336
774	0.41680019
775	0.4167305975
776	0.4165822638
777	0.4164727015
778	0.4163246866
779	0.4161736048
780	0.4161326312
781	0.4160544837
782	0.4158835517
783	0.4157696658
784	0.41568432
785	0.4155420261
786	0.4154651324
787	0.4154188876
788	0.4153770649
789	0.415287554
790	0.4151786011
791	0.4150362563
792	0.4149647184
793	0.4148447311
794	0.4147366027
795	0.4146533323
796	0.4145915303
797	0.4144409787
798	0.4143641313
799	0.4142033258
800	0.4141146648
801	0.4139710819
802	0.4138300519
803	0.4137273729
804	0.4135674764
805	0.4134583715
806	0.4133387055
807	0.4132133934
808	0.4131437267
809	0.4130719454
810	0.4129533524
811	0.4128533771
812	0.4127593265
813	0.4126932839
814	0.4125553744
815	0.4124491479
816	0.4124108796
817	0.4122633961
818	0.4121170611
819	0.4120468049
820	0.4118802949
821	0.4117964707
822	0.4116751972
823	0.4115402551
824	0.4114549927
825	0.4112925541
826	0.4111704919
827	0.4110815962
828	0.4109976721
829	0.4109097075
830	0.4107770236
831	0.4106484678
832	0.4105159519
833	0.4103681952
834	0.4102543345
835	0.4101141582
836	0.4100256836
837	0.4099123945
838	0.4098045604
839	0.4096822434
840	0.4095945758
841	0.409506095
842	0.4094103375
843	0.4093521239
844	0.4092894743
845	0.4091750966
846	0.409076744
847	0.4089984185
848	0.408913738
849	0.4088447766
850	0.4087281005
851	0.4086413953
852	0.4085795671
853	0.4084819962
854	0.4084131316
855	0.4083428491
856	0.4082434647
857	0.4081185453
858	0.4080018681
859	0.4079359521
860	0.4078519343
861	0.4077566498
862	0.407700257
863	0.4076327405
864	0.4075781397
865	0.4075042715
866	0.4074288926
867	0.4073298064
868	0.4072584473
869	0.4071421747
870	0.4070551919
871	0.4069892527
872	0.406863199
873	0.4067514502
874	0.4066458979
875	0.4065663706
876	0.4065078557
877	0.4063771912
878	0.4063123743
879	0.4062657414
880	0.4062003558
881	0.406118975
882	0.4059671164
883	0.4058936283
884	0.4057716876
885	0.4056457857
886	0.405531931
887	0.4054167901
888	0.4052967022
889	0.4052011293
890	0.4051420446
891	0.4049999973
892	0.4049448715
893	0.4048713051
894	0.4048134701
895	0.4047195329
896	0.4046354037
897	0.4045007757
898	0.4044066152
899	0.4042909753
900	0.4041905666
901	0.40407344
902	0.4039881317
903	0.4039333572
904	0.4038105055
905	0.4037018236
906	0.4036260494
907	0.4034526816
908	0.4033001034
909	0.4031957032
910	0.4030951001
911	0.4030576802
912	0.4029693631
913	0.4028651451
914	0.4027792827
915	0.4027238819
916	0.4026628598
917	0.4025374196
918	0.4024471394
919	0.4023746076
920	0.4022139112
921	0.4020477019
922	0.4019333168
923	0.401845326
924	0.4017592675
925	0.4016551451
926	0.4015622944
927	0.4014701188
928	0.4014217097
929	0.4013798599
930	0.4013011969
931	0.4011753262
932	0.4010655747
933	0.4009816694
934	0.4009045277
935	0.4008233375
936	0.4007038078
937	0.4005825074
938	0.4004292715
939	0.4003361931
940	0.4002989327
941	0.4001876768
942	0.4001447711
943	0.4000337483
944	0.3999485947
945	0.3998289718
946	0.399711664
947	0.3996390108
948	0.3995286773
949	0.3994781378
950	0.3993840235
951	0.3993050981
952	0.3991693878
953	0.3991253937
954	0.399045266
955	0.3989341069
956	0.3988582802
957	0.3987684493
958	0.3986640969
959	0.3986014667
960	0.3985234123
961	0.3983932931
962	0.3982861381
963	0.3982604838
964	0.3981815898
965	0.3980890382
966	0.3979768941
967	0.3979365392
968	0.397847441
969	0.3977875504
970	0.3976991471
971	0.3976036826
972	0.3974862386
973	0.3974139969
974	0.3973554592
975	0.397230873
976	0.3971505025
977	0.3970065067
978	0.3969052677
979	0.3968250296
980	0.3967206985
981	0.3966635547
982	0.3966022886
983	0.396493011
984	0.396403208
985	0.3962986532
986	0.3962417162
987	0.3961391941
988	0.3960414817
989	0.3959794984
990	0.3958493639
991	0.3957691807
992	0.39570171
993	0.3956110106
994	0.3955336803
995	0.3953953555
996	0.3953292076
997	0.3952248543
998	0.3950922938
999	0.394954851
